index;OrderDate;Country;LineTotal;ProductName;ProductNumber;Class;Product_name;Size
145;2011-05-31;AU;419.4589;Road-650 Red, 62;BK-R50R-62;L;Road-650 Red; 62
152;2011-05-31;AU;419.4589;Road-650 Black, 44;BK-R50B-44;L;Road-650 Black; 44
157;2011-05-31;AU;183.9382;LL Road Frame - Red, 44;FR-R38R-44;L;LL Road Frame - Red; 44
162;2011-05-31;AU;419.4589;Road-650 Red, 60;BK-R50R-60;L;Road-650 Red; 60
163;2011-05-31;AU;419.4589;Road-650 Black, 52;BK-R50B-52;L;Road-650 Black; 52
166;2011-05-31;AU;419.4589;Road-650 Red, 48;BK-R50R-48;L;Road-650 Red; 48
170;2011-05-31;AU;419.4589;Road-650 Black, 44;BK-R50B-44;L;Road-650 Black; 44
207;2011-05-31;AU;178.5808;LL Road Frame - Black, 58;FR-R38B-58;L;LL Road Frame - Black; 58
215;2011-05-31;AU;115.3616;Long-Sleeve Logo Jersey, L;LJ-0192-L;L;Long-Sleeve Logo Jersey; L
216;2011-05-31;AU;57.6808;Long-Sleeve Logo Jersey, XL;LJ-0192-X;L;Long-Sleeve Logo Jersey; XL
223;2011-05-31;AU;57.6808;Long-Sleeve Logo Jersey, M;LJ-0192-M;L;Long-Sleeve Logo Jersey; M
225;2011-05-31;AU;86.5212;Long-Sleeve Logo Jersey, L;LJ-0192-L;L;Long-Sleeve Logo Jersey; L
226;2011-05-31;AU;86.5212;Long-Sleeve Logo Jersey, L;LJ-0192-L;L;Long-Sleeve Logo Jersey; L
228;2011-05-31;AU;28.8404;Long-Sleeve Logo Jersey, XL;LJ-0192-X;L;Long-Sleeve Logo Jersey; XL
233;2011-05-31;AU;57.6808;Long-Sleeve Logo Jersey, M;LJ-0192-M;L;Long-Sleeve Logo Jersey; M
247;2011-05-31;AU;5.7;Mountain Bike Socks, L;SO-B909-L;L;Mountain Bike Socks; L
249;2011-05-31;AU;34.2;Mountain Bike Socks, M;SO-B909-M;L;Mountain Bike Socks; M
275;2011-05-31;AU;874.794;Road-450 Red, 60;BK-R68R-60;M;Road-450 Red; 60
285;2011-05-31;AU;713.796;ML Road Frame - Red, 48;FR-R72R-48;M;ML Road Frame - Red; 48
293;2011-05-31;AU;713.796;ML Road Frame - Red, 48;FR-R72R-48;M;ML Road Frame - Red; 48
298;2011-05-31;AU;1749.588;Road-450 Red, 44;BK-R68R-44;M;Road-450 Red; 44
299;2011-05-31;AU;874.794;Road-450 Red, 52;BK-R68R-52;M;Road-450 Red; 52
303;2011-05-31;AU;1749.588;Road-450 Red, 52;BK-R68R-52;M;Road-450 Red; 52
305;2011-05-31;AU;1749.588;Road-450 Red, 52;BK-R68R-52;M;Road-450 Red; 52
318;2011-05-31;AU;1070.694;ML Road Frame - Red, 48;FR-R72R-48;M;ML Road Frame - Red; 48
322;2011-05-31;AU;100.9325;Sport-100 Helmet, Black;HL-U509;L;Sport-100 Helmet; -
324;2011-05-31;AU;20.1865;Sport-100 Helmet, Red;HL-U509-R;L;Sport-100 Helmet; -
329;2011-05-31;AU;20.1865;Sport-100 Helmet, Black;HL-U509;L;Sport-100 Helmet; -
353;2011-05-31;AU;40.373;Sport-100 Helmet, Black;HL-U509;L;Sport-100 Helmet; -
355;2011-05-31;AU;20.1865;Sport-100 Helmet, Black;HL-U509;L;Sport-100 Helmet; -
1;2011-05-31;CA;3578.27;Road-150 Red, 62;BK-R93R-62;H;Road-150 Red; 62
10;2011-05-31;CA;2039.994;Mountain-100 Silver, 48;BK-M82S-48;H;Mountain-100 Silver; 48
19;2011-05-31;CA;4079.988;Mountain-100 Silver, 44;BK-M82S-44;H;Mountain-100 Silver; 44
20;2011-05-31;CA;4049.988;Mountain-100 Black, 44;BK-M82B-44;H;Mountain-100 Black; 44
23;2011-05-31;CA;2039.994;Mountain-100 Silver, 42;BK-M82S-42;H;Mountain-100 Silver; 42
34;2011-05-31;CA;2146.962;Road-150 Red, 56;BK-R93R-56;H;Road-150 Red; 56
51;2011-05-31;CA;4049.988;Mountain-100 Black, 42;BK-M82B-42;H;Mountain-100 Black; 42
68;2011-05-31;CA;6074.982;Mountain-100 Black, 42;BK-M82B-42;H;Mountain-100 Black; 42
69;2011-05-31;CA;6119.982;Mountain-100 Silver, 38;BK-M82S-38;H;Mountain-100 Silver; 38
70;2011-05-31;CA;2039.994;Mountain-100 Silver, 42;BK-M82S-42;H;Mountain-100 Silver; 42
84;2011-05-31;CA;367.8764;LL Road Frame - Red, 62;FR-R38R-62;L;LL Road Frame - Red; 62
88;2011-05-31;CA;838.9178;Road-650 Black, 44;BK-R50B-44;L;Road-650 Black; 44
90;2011-05-31;CA;183.9382;LL Road Frame - Red, 60;FR-R38R-60;L;LL Road Frame - Red; 60
95;2011-05-31;CA;1258.3767;Road-650 Black, 60;BK-R50B-60;L;Road-650 Black; 60
96;2011-05-31;CA;419.4589;Road-650 Red, 60;BK-R50R-60;L;Road-650 Red; 60
97;2011-05-31;CA;419.4589;Road-650 Red, 52;BK-R50R-52;L;Road-650 Red; 52
107;2011-05-31;CA;838.9178;Road-650 Red, 52;BK-R50R-52;L;Road-650 Red; 52
119;2011-05-31;CA;838.9178;Road-650 Red, 62;BK-R50R-62;L;Road-650 Red; 62
127;2011-05-31;CA;1677.8356;Road-650 Red, 60;BK-R50R-60;L;Road-650 Red; 60
137;2011-05-31;CA;367.8764;LL Road Frame - Red, 44;FR-R38R-44;L;LL Road Frame - Red; 44
143;2011-05-31;CA;183.9382;LL Road Frame - Red, 60;FR-R38R-60;L;LL Road Frame - Red; 60
148;2011-05-31;CA;2097.2945;Road-650 Red, 44;BK-R50R-44;L;Road-650 Red; 44
156;2011-05-31;CA;838.9178;Road-650 Red, 60;BK-R50R-60;L;Road-650 Red; 60
171;2011-05-31;CA;838.9178;Road-650 Black, 58;BK-R50B-58;L;Road-650 Black; 58
178;2011-05-31;CA;1258.3767;Road-650 Black, 58;BK-R50B-58;L;Road-650 Black; 58
183;2011-05-31;CA;1677.8356;Road-650 Black, 60;BK-R50B-60;L;Road-650 Black; 60
185;2011-05-31;CA;2936.2123;Road-650 Red, 60;BK-R50R-60;L;Road-650 Red; 60
196;2011-05-31;CA;838.9178;Road-650 Red, 60;BK-R50R-60;L;Road-650 Red; 60
198;2011-05-31;CA;183.9382;LL Road Frame - Red, 44;FR-R38R-44;L;LL Road Frame - Red; 44
199;2011-05-31;CA;367.8764;LL Road Frame - Red, 62;FR-R38R-62;L;LL Road Frame - Red; 62
202;2011-05-31;CA;2516.7534;Road-650 Red, 44;BK-R50R-44;L;Road-650 Red; 44
204;2011-05-31;CA;838.9178;Road-650 Black, 58;BK-R50B-58;L;Road-650 Black; 58
209;2011-05-31;CA;419.4589;Road-650 Red, 48;BK-R50R-48;L;Road-650 Red; 48
236;2011-05-31;CA;57.6808;Long-Sleeve Logo Jersey, L;LJ-0192-L;L;Long-Sleeve Logo Jersey; L
239;2011-05-31;CA;115.3616;Long-Sleeve Logo Jersey, M;LJ-0192-M;L;Long-Sleeve Logo Jersey; M
241;2011-05-31;CA;86.5212;Long-Sleeve Logo Jersey, XL;LJ-0192-X;L;Long-Sleeve Logo Jersey; XL
242;2011-05-31;CA;57.6808;Long-Sleeve Logo Jersey, L;LJ-0192-L;L;Long-Sleeve Logo Jersey; L
252;2011-05-31;CA;34.2;Mountain Bike Socks, M;SO-B909-M;L;Mountain Bike Socks; M
254;2011-05-31;CA;11.4;Mountain Bike Socks, M;SO-B909-M;L;Mountain Bike Socks; M
257;2011-05-31;CA;10.373;AWC Logo Cap;CA-1098;L;AWC Logo Cap;
272;2011-05-31;CA;356.898;ML Road Frame - Red, 48;FR-R72R-48;M;ML Road Frame - Red; 48
284;2011-05-31;CA;874.794;Road-450 Red, 44;BK-R68R-44;M;Road-450 Red; 44
286;2011-05-31;CA;1749.588;Road-450 Red, 60;BK-R68R-60;M;Road-450 Red; 60
287;2011-05-31;CA;874.794;Road-450 Red, 58;BK-R68R-58;M;Road-450 Red; 58
292;2011-05-31;CA;874.794;Road-450 Red, 58;BK-R68R-58;M;Road-450 Red; 58
307;2011-05-31;CA;2624.382;Road-450 Red, 52;BK-R68R-52;M;Road-450 Red; 52
310;2011-05-31;CA;1749.588;Road-450 Red, 60;BK-R68R-60;M;Road-450 Red; 60
314;2011-05-31;CA;874.794;Road-450 Red, 52;BK-R68R-52;M;Road-450 Red; 52
315;2011-05-31;CA;6998.352;Road-450 Red, 58;BK-R68R-58;M;Road-450 Red; 58
316;2011-05-31;CA;3499.176;Road-450 Red, 44;BK-R68R-44;M;Road-450 Red; 44
317;2011-05-31;CA;6998.352;Road-450 Red, 52;BK-R68R-52;M;Road-450 Red; 52
320;2011-05-31;CA;80.746;Sport-100 Helmet, Blue;HL-U509-B;L;Sport-100 Helmet; -
327;2011-05-31;CA;20.1865;Sport-100 Helmet, Black;HL-U509;L;Sport-100 Helmet; -
342;2011-05-31;CA;40.373;Sport-100 Helmet, Black;HL-U509;L;Sport-100 Helmet; -
343;2011-05-31;CA;20.1865;Sport-100 Helmet, Red;HL-U509-R;L;Sport-100 Helmet; -
345;2011-05-31;CA;40.373;Sport-100 Helmet, Blue;HL-U509-B;L;Sport-100 Helmet; -
346;2011-05-31;CA;20.1865;Sport-100 Helmet, Black;HL-U509;L;Sport-100 Helmet; -
351;2011-05-31;CA;80.746;Sport-100 Helmet, Red;HL-U509-R;L;Sport-100 Helmet; -
354;2011-05-31;CA;20.1865;Sport-100 Helmet, Red;HL-U509-R;L;Sport-100 Helmet; -
356;2011-05-31;CA;100.9325;Sport-100 Helmet, Blue;HL-U509-B;L;Sport-100 Helmet; -
4;2011-05-31;DE;2024.994;Mountain-100 Black, 42;BK-M82B-42;H;Mountain-100 Black; 42
5;2011-05-31;DE;6074.982;Mountain-100 Black, 44;BK-M82B-44;H;Mountain-100 Black; 44
9;2011-05-31;DE;4079.988;Mountain-100 Silver, 44;BK-M82S-44;H;Mountain-100 Silver; 44
13;2011-05-31;DE;1429.4086;HL Mountain Frame - Black, 38;FR-M94B-38;H;HL Mountain Frame - Black; 38
14;2011-05-31;DE;1445.1898;HL Mountain Frame - Silver, 46;FR-M94S-46;H;HL Mountain Frame - Silver; 46
15;2011-05-31;DE;6074.982;Mountain-100 Black, 38;BK-M82B-38;H;Mountain-100 Black; 38
28;2011-05-31;DE;2024.994;Mountain-100 Black, 48;BK-M82B-48;H;Mountain-100 Black; 48
37;2011-05-31;DE;2024.994;Mountain-100 Black, 38;BK-M82B-38;H;Mountain-100 Black; 38
38;2011-05-31;DE;4293.924;Road-150 Red, 56;BK-R93R-56;H;Road-150 Red; 56
42;2011-05-31;DE;2146.962;Road-150 Red, 56;BK-R93R-56;H;Road-150 Red; 56
47;2011-05-31;DE;6074.982;Mountain-100 Black, 38;BK-M82B-38;H;Mountain-100 Black; 38
52;2011-05-31;DE;4079.988;Mountain-100 Silver, 44;BK-M82S-44;H;Mountain-100 Silver; 44
57;2011-05-31;DE;10124.97;Mountain-100 Black, 48;BK-M82B-48;H;Mountain-100 Black; 48
61;2011-05-31;DE;4293.924;Road-150 Red, 56;BK-R93R-56;H;Road-150 Red; 56
62;2011-05-31;DE;2039.994;Mountain-100 Silver, 44;BK-M82S-44;H;Mountain-100 Silver; 44
78;2011-05-31;DE;12149.964;Mountain-100 Black, 48;BK-M82B-48;H;Mountain-100 Black; 48
91;2011-05-31;DE;535.7424;LL Road Frame - Black, 58;FR-R38B-58;L;LL Road Frame - Black; 58
94;2011-05-31;DE;178.5808;LL Road Frame - Black, 52;FR-R38B-52;L;LL Road Frame - Black; 52
98;2011-05-31;DE;838.9178;Road-650 Black, 44;BK-R50B-44;L;Road-650 Black; 44
99;2011-05-31;DE;419.4589;Road-650 Black, 60;BK-R50B-60;L;Road-650 Black; 60
100;2011-05-31;DE;2936.2123;Road-650 Red, 60;BK-R50R-60;L;Road-650 Red; 60
101;2011-05-31;DE;2516.7534;Road-650 Black, 58;BK-R50B-58;L;Road-650 Black; 58
113;2011-05-31;DE;535.7424;LL Road Frame - Black, 58;FR-R38B-58;L;LL Road Frame - Black; 58
116;2011-05-31;DE;838.9178;Road-650 Red, 48;BK-R50R-48;L;Road-650 Red; 48
118;2011-05-31;DE;183.9382;LL Road Frame - Red, 60;FR-R38R-60;L;LL Road Frame - Red; 60
122;2011-05-31;DE;838.9178;Road-650 Black, 52;BK-R50B-52;L;Road-650 Black; 52
124;2011-05-31;DE;357.1616;LL Road Frame - Black, 52;FR-R38B-52;L;LL Road Frame - Black; 52
129;2011-05-31;DE;419.4589;Road-650 Red, 48;BK-R50R-48;L;Road-650 Red; 48
136;2011-05-31;DE;367.8764;LL Road Frame - Red, 60;FR-R38R-60;L;LL Road Frame - Red; 60
138;2011-05-31;DE;419.4589;Road-650 Black, 52;BK-R50B-52;L;Road-650 Black; 52
141;2011-05-31;DE;1258.3767;Road-650 Red, 60;BK-R50R-60;L;Road-650 Red; 60
142;2011-05-31;DE;357.1616;LL Road Frame - Black, 52;FR-R38B-52;L;LL Road Frame - Black; 52
147;2011-05-31;DE;419.4589;Road-650 Red, 48;BK-R50R-48;L;Road-650 Red; 48
154;2011-05-31;DE;357.1616;LL Road Frame - Black, 52;FR-R38B-52;L;LL Road Frame - Black; 52
155;2011-05-31;DE;838.9178;Road-650 Red, 52;BK-R50R-52;L;Road-650 Red; 52
172;2011-05-31;DE;183.9382;LL Road Frame - Red, 44;FR-R38R-44;L;LL Road Frame - Red; 44
173;2011-05-31;DE;838.9178;Road-650 Red, 60;BK-R50R-60;L;Road-650 Red; 60
180;2011-05-31;DE;1258.3767;Road-650 Red, 52;BK-R50R-52;L;Road-650 Red; 52
182;2011-05-31;DE;367.8764;LL Road Frame - Red, 44;FR-R38R-44;L;LL Road Frame - Red; 44
191;2011-05-31;DE;2097.2945;Road-650 Black, 58;BK-R50B-58;L;Road-650 Black; 58
194;2011-05-31;DE;3775.1301;Road-650 Red, 44;BK-R50R-44;L;Road-650 Red; 44
195;2011-05-31;DE;419.4589;Road-650 Black, 52;BK-R50B-52;L;Road-650 Black; 52
206;2011-05-31;DE;419.4589;Road-650 Black, 60;BK-R50B-60;L;Road-650 Black; 60
213;2011-05-31;DE;86.5212;Long-Sleeve Logo Jersey, M;LJ-0192-M;L;Long-Sleeve Logo Jersey; M
227;2011-05-31;DE;86.5212;Long-Sleeve Logo Jersey, L;LJ-0192-L;L;Long-Sleeve Logo Jersey; L
237;2011-05-31;DE;28.8404;Long-Sleeve Logo Jersey, L;LJ-0192-L;L;Long-Sleeve Logo Jersey; L
243;2011-05-31;DE;86.5212;Long-Sleeve Logo Jersey, XL;LJ-0192-X;L;Long-Sleeve Logo Jersey; XL
250;2011-05-31;DE;5.7;Mountain Bike Socks, L;SO-B909-L;L;Mountain Bike Socks; L
260;2011-05-31;DE;10.373;AWC Logo Cap;CA-1098;L;AWC Logo Cap;
261;2011-05-31;DE;25.9325;AWC Logo Cap;CA-1098;L;AWC Logo Cap;
262;2011-05-31;DE;15.5595;AWC Logo Cap;CA-1098;L;AWC Logo Cap;
276;2011-05-31;DE;356.898;ML Road Frame - Red, 48;FR-R72R-48;M;ML Road Frame - Red; 48
278;2011-05-31;DE;2624.382;Road-450 Red, 44;BK-R68R-44;M;Road-450 Red; 44
289;2011-05-31;DE;1749.588;Road-450 Red, 52;BK-R68R-52;M;Road-450 Red; 52
301;2011-05-31;DE;2624.382;Road-450 Red, 52;BK-R68R-52;M;Road-450 Red; 52
302;2011-05-31;DE;874.794;Road-450 Red, 44;BK-R68R-44;M;Road-450 Red; 44
304;2011-05-31;DE;1749.588;Road-450 Red, 58;BK-R68R-58;M;Road-450 Red; 58
306;2011-05-31;DE;874.794;Road-450 Red, 58;BK-R68R-58;M;Road-450 Red; 58
323;2011-05-31;DE;40.373;Sport-100 Helmet, Blue;HL-U509-B;L;Sport-100 Helmet; -
325;2011-05-31;DE;40.373;Sport-100 Helmet, Red;HL-U509-R;L;Sport-100 Helmet; -
331;2011-05-31;DE;20.1865;Sport-100 Helmet, Blue;HL-U509-B;L;Sport-100 Helmet; -
335;2011-05-31;DE;40.373;Sport-100 Helmet, Black;HL-U509;L;Sport-100 Helmet; -
339;2011-05-31;DE;20.1865;Sport-100 Helmet, Red;HL-U509-R;L;Sport-100 Helmet; -
340;2011-05-31;DE;80.746;Sport-100 Helmet, Red;HL-U509-R;L;Sport-100 Helmet; -
341;2011-05-31;DE;20.1865;Sport-100 Helmet, Blue;HL-U509-B;L;Sport-100 Helmet; -
348;2011-05-31;DE;60.5595;Sport-100 Helmet, Red;HL-U509-R;L;Sport-100 Helmet; -
2;2011-05-31;FR;3399.99;Mountain-100 Silver, 44;BK-M82S-44;H;Mountain-100 Silver; 44
6;2011-05-31;FR;2024.994;Mountain-100 Black, 48;BK-M82B-48;H;Mountain-100 Black; 48
8;2011-05-31;FR;2039.994;Mountain-100 Silver, 42;BK-M82S-42;H;Mountain-100 Silver; 42
12;2011-05-31;FR;714.7043;HL Mountain Frame - Black, 42;FR-M94B-42;H;HL Mountain Frame - Black; 42
18;2011-05-31;FR;8099.976;Mountain-100 Black, 42;BK-M82B-42;H;Mountain-100 Black; 42
24;2011-05-31;FR;8099.976;Mountain-100 Black, 38;BK-M82B-38;H;Mountain-100 Black; 38
29;2011-05-31;FR;2039.994;Mountain-100 Silver, 44;BK-M82S-44;H;Mountain-100 Silver; 44
30;2011-05-31;FR;4049.988;Mountain-100 Black, 44;BK-M82B-44;H;Mountain-100 Black; 44
32;2011-05-31;FR;2024.994;Mountain-100 Black, 48;BK-M82B-48;H;Mountain-100 Black; 48
46;2011-05-31;FR;4049.988;Mountain-100 Black, 48;BK-M82B-48;H;Mountain-100 Black; 48
48;2011-05-31;FR;2146.962;Road-150 Red, 56;BK-R93R-56;H;Road-150 Red; 56
53;2011-05-31;FR;2039.994;Mountain-100 Silver, 48;BK-M82S-48;H;Mountain-100 Silver; 48
56;2011-05-31;FR;2039.994;Mountain-100 Silver, 42;BK-M82S-42;H;Mountain-100 Silver; 42
63;2011-05-31;FR;6119.982;Mountain-100 Silver, 38;BK-M82S-38;H;Mountain-100 Silver; 38
82;2011-05-31;FR;1258.3767;Road-650 Red, 52;BK-R50R-52;L;Road-650 Red; 52
89;2011-05-31;FR;1258.3767;Road-650 Red, 48;BK-R50R-48;L;Road-650 Red; 48
103;2011-05-31;FR;367.8764;LL Road Frame - Red, 60;FR-R38R-60;L;LL Road Frame - Red; 60
115;2011-05-31;FR;838.9178;Road-650 Black, 44;BK-R50B-44;L;Road-650 Black; 44
120;2011-05-31;FR;419.4589;Road-650 Red, 44;BK-R50R-44;L;Road-650 Red; 44
131;2011-05-31;FR;419.4589;Road-650 Red, 60;BK-R50R-60;L;Road-650 Red; 60
133;2011-05-31;FR;419.4589;Road-650 Black, 58;BK-R50B-58;L;Road-650 Black; 58
135;2011-05-31;FR;838.9178;Road-650 Red, 62;BK-R50R-62;L;Road-650 Red; 62
144;2011-05-31;FR;367.8764;LL Road Frame - Red, 44;FR-R38R-44;L;LL Road Frame - Red; 44
146;2011-05-31;FR;1258.3767;Road-650 Black, 58;BK-R50B-58;L;Road-650 Black; 58
158;2011-05-31;FR;419.4589;Road-650 Red, 44;BK-R50R-44;L;Road-650 Red; 44
160;2011-05-31;FR;838.9178;Road-650 Black, 52;BK-R50B-52;L;Road-650 Black; 52
169;2011-05-31;FR;419.4589;Road-650 Black, 52;BK-R50B-52;L;Road-650 Black; 52
177;2011-05-31;FR;367.8764;LL Road Frame - Red, 60;FR-R38R-60;L;LL Road Frame - Red; 60
181;2011-05-31;FR;357.1616;LL Road Frame - Black, 52;FR-R38B-52;L;LL Road Frame - Black; 52
188;2011-05-31;FR;2516.7534;Road-650 Red, 48;BK-R50R-48;L;Road-650 Red; 48
189;2011-05-31;FR;367.8764;LL Road Frame - Red, 60;FR-R38R-60;L;LL Road Frame - Red; 60
193;2011-05-31;FR;838.9178;Road-650 Red, 62;BK-R50R-62;L;Road-650 Red; 62
201;2011-05-31;FR;357.1616;LL Road Frame - Black, 52;FR-R38B-52;L;LL Road Frame - Black; 52
203;2011-05-31;FR;2936.2123;Road-650 Red, 60;BK-R50R-60;L;Road-650 Red; 60
205;2011-05-31;FR;419.4589;Road-650 Red, 52;BK-R50R-52;L;Road-650 Red; 52
211;2011-05-31;FR;367.8764;LL Road Frame - Red, 48;FR-R38R-48;L;LL Road Frame - Red; 48
219;2011-05-31;FR;57.6808;Long-Sleeve Logo Jersey, L;LJ-0192-L;L;Long-Sleeve Logo Jersey; L
220;2011-05-31;FR;173.0424;Long-Sleeve Logo Jersey, L;LJ-0192-L;L;Long-Sleeve Logo Jersey; L
230;2011-05-31;FR;57.6808;Long-Sleeve Logo Jersey, L;LJ-0192-L;L;Long-Sleeve Logo Jersey; L
238;2011-05-31;FR;288.404;Long-Sleeve Logo Jersey, L;LJ-0192-L;L;Long-Sleeve Logo Jersey; L
244;2011-05-31;FR;34.2;Mountain Bike Socks, M;SO-B909-M;L;Mountain Bike Socks; M
251;2011-05-31;FR;22.8;Mountain Bike Socks, M;SO-B909-M;L;Mountain Bike Socks; M
253;2011-05-31;FR;34.2;Mountain Bike Socks, M;SO-B909-M;L;Mountain Bike Socks; M
258;2011-05-31;FR;20.746;AWC Logo Cap;CA-1098;L;AWC Logo Cap;
259;2011-05-31;FR;5.1865;AWC Logo Cap;CA-1098;L;AWC Logo Cap;
263;2011-05-31;FR;15.5595;AWC Logo Cap;CA-1098;L;AWC Logo Cap;
264;2011-05-31;FR;10.373;AWC Logo Cap;CA-1098;L;AWC Logo Cap;
266;2011-05-31;FR;10.373;AWC Logo Cap;CA-1098;L;AWC Logo Cap;
269;2011-05-31;FR;874.794;Road-450 Red, 52;BK-R68R-52;M;Road-450 Red; 52
271;2011-05-31;FR;874.794;Road-450 Red, 44;BK-R68R-44;M;Road-450 Red; 44
274;2011-05-31;FR;356.898;ML Road Frame - Red, 52;FR-R72R-52;M;ML Road Frame - Red; 52
279;2011-05-31;FR;1749.588;Road-450 Red, 58;BK-R68R-58;M;Road-450 Red; 58
280;2011-05-31;FR;2624.382;Road-450 Red, 60;BK-R68R-60;M;Road-450 Red; 60
281;2011-05-31;FR;1427.592;ML Road Frame - Red, 48;FR-R72R-48;M;ML Road Frame - Red; 48
294;2011-05-31;FR;874.794;Road-450 Red, 44;BK-R68R-44;M;Road-450 Red; 44
295;2011-05-31;FR;1749.588;Road-450 Red, 52;BK-R68R-52;M;Road-450 Red; 52
296;2011-05-31;FR;874.794;Road-450 Red, 58;BK-R68R-58;M;Road-450 Red; 58
297;2011-05-31;FR;874.794;Road-450 Red, 60;BK-R68R-60;M;Road-450 Red; 60
300;2011-05-31;FR;356.898;ML Road Frame - Red, 48;FR-R72R-48;M;ML Road Frame - Red; 48
311;2011-05-31;FR;713.796;ML Road Frame - Red, 48;FR-R72R-48;M;ML Road Frame - Red; 48
321;2011-05-31;FR;40.373;Sport-100 Helmet, Blue;HL-U509-B;L;Sport-100 Helmet; -
330;2011-05-31;FR;40.373;Sport-100 Helmet, Black;HL-U509;L;Sport-100 Helmet; -
333;2011-05-31;FR;100.9325;Sport-100 Helmet, Blue;HL-U509-B;L;Sport-100 Helmet; -
337;2011-05-31;FR;80.746;Sport-100 Helmet, Black;HL-U509;L;Sport-100 Helmet; -
344;2011-05-31;FR;40.373;Sport-100 Helmet, Black;HL-U509;L;Sport-100 Helmet; -
349;2011-05-31;FR;60.5595;Sport-100 Helmet, Black;HL-U509;L;Sport-100 Helmet; -
16;2011-05-31;GB;4049.988;Mountain-100 Black, 48;BK-M82B-48;H;Mountain-100 Black; 48
21;2011-05-31;GB;2146.962;Road-150 Red, 56;BK-R93R-56;H;Road-150 Red; 56
31;2011-05-31;GB;4049.988;Mountain-100 Black, 38;BK-M82B-38;H;Mountain-100 Black; 38
35;2011-05-31;GB;2039.994;Mountain-100 Silver, 44;BK-M82S-44;H;Mountain-100 Silver; 44
55;2011-05-31;GB;12149.964;Mountain-100 Black, 44;BK-M82B-44;H;Mountain-100 Black; 44
58;2011-05-31;GB;4293.924;Road-150 Red, 56;BK-R93R-56;H;Road-150 Red; 56
59;2011-05-31;GB;2146.962;Road-150 Red, 56;BK-R93R-56;H;Road-150 Red; 56
67;2011-05-31;GB;2024.994;Mountain-100 Black, 48;BK-M82B-48;H;Mountain-100 Black; 48
74;2011-05-31;GB;1445.1898;HL Mountain Frame - Silver, 38;FR-M94S-38;H;HL Mountain Frame - Silver; 38
76;2011-05-31;GB;722.5949;HL Mountain Frame - Silver, 46;FR-M94S-46;H;HL Mountain Frame - Silver; 46
83;2011-05-31;GB;2097.2945;Road-650 Black, 52;BK-R50B-52;L;Road-650 Black; 52
93;2011-05-31;GB;183.9382;LL Road Frame - Red, 48;FR-R38R-48;L;LL Road Frame - Red; 48
102;2011-05-31;GB;1103.6292;LL Road Frame - Red, 62;FR-R38R-62;L;LL Road Frame - Red; 62
104;2011-05-31;GB;1258.3767;Road-650 Red, 62;BK-R50R-62;L;Road-650 Red; 62
105;2011-05-31;GB;838.9178;Road-650 Black, 52;BK-R50B-52;L;Road-650 Black; 52
108;2011-05-31;GB;838.9178;Road-650 Black, 60;BK-R50B-60;L;Road-650 Black; 60
111;2011-05-31;GB;1677.8356;Road-650 Red, 44;BK-R50R-44;L;Road-650 Red; 44
114;2011-05-31;GB;1258.3767;Road-650 Red, 48;BK-R50R-48;L;Road-650 Red; 48
149;2011-05-31;GB;183.9382;LL Road Frame - Red, 60;FR-R38R-60;L;LL Road Frame - Red; 60
